chi,ell,m,n,Rew,Imw,source,note,Delta,THM,absImwM,R
0.0,2,2,0,0.3736716844180417,-0.0889623156889354,qnm,s=-2 from qnm package,1.0,0.039788735772973836,0.0889623156889354,2.2358668593175635
0.0038606177606177,2,2,0,0.3741582915002803,-0.0889545323895967,qnm,s=-2 from qnm package,0.9999850956305064,0.039788587515364085,0.0889545323895967,2.2356795740800686
0.0077212355212355,2,2,0,0.3746470537606836,-0.0889465920457675,qnm,s=-2 from qnm package,0.9999403825220257,0.03978814272927617,0.0889465920457675,2.235505000848418
0.0115818532818532,2,2,0,0.3751379880643603,-0.0889384931018586,qnm,s=-2 from qnm package,0.9998658606745576,0.03978740137493051,0.0889384931018586,2.235343099283119
0.015442471042471,2,2,0,0.3756311114694173,-0.0889302339796279,qnm,s=-2 from qnm package,0.9997615300881024,0.03978636338601538,0.0889302339796279,2.2351938305295387
0.0193030888030888,2,2,0,0.3761264412299015,-0.0889218130777757,qnm,s=-2 from qnm package,0.99962739076266,0.039785028669668425,0.0889218130777757,2.235057157205683
0.0231637065637065,2,2,0,0.3766239947987848,-0.0889132287715332,qnm,s=-2 from qnm package,0.9994634426982305,0.03978339710645071,0.0889132287715332,2.234933043390513
0.0270243243243243,2,2,0,0.3771237898310128,-0.088904479412235,qnm,s=-2 from qnm package,0.9992696858948137,0.039781468550313254,0.088904479412235,2.2348214546125633
0.030884942084942,2,2,0,0.3776258441866096,-0.0888955633268908,qnm,s=-2 from qnm package,0.9990461203524098,0.039779242828556195,0.0888955633268908,2.2347223578392406
0.0347455598455598,2,2,0,0.3781301759338438,-0.0888864788177326,qnm,s=-2 from qnm package,0.9987927460710186,0.0397767197417804,0.0888864788177326,2.2346357214662076
0.0386061776061776,2,2,0,0.3786368033524473,-0.0888772241617714,qnm,s=-2 from qnm package,0.9985095630506403,0.03977389906383156,0.0888772241617714,2.2345615153077114
0.0424667953667953,2,2,0,0.3791457449369123,-0.0888677976103458,qnm,s=-2 from qnm package,0.9981965712912747,0.03977078054173678,0.0888677976103458,2.234499710587399
0.0463274131274131,2,2,0,0.379657019399835,-0.0888581973886214,qnm,s=-2 from qnm package,0.997853770792922,0.039767363895633547,0.0888581973886214,2.234450279928613
0.0501880308880308,2,2,0,0.3801706456753331,-0.0888484216951394,qnm,s=-2 from qnm package,0.9974811615555821,0.039763648818691065,0.0888484216951394,2.2344131973466137
0.0540486486486486,2,2,0,0.3806866429225324,-0.0888384687012972,qnm,s=-2 from qnm package,0.997078743579255,0.03975963497702392,0.0888384687012972,2.234388438239805
0.0579092664092664,2,2,0,0.3812050305291135,-0.088828336550871,qnm,s=-2 from qnm package,0.9966465168639406,0.03975532200959805,0.088828336550871,2.234375979382719
0.0617698841698841,2,2,0,0.3817258281149356,-0.0888180233594781,qnm,s=-2 from qnm package,0.9961844814096391,0.03975070952812886,0.0888180233594781,2.2343757989181965
0.0656305019305019,2,2,0,0.3822490555357288,-0.0888075272140627,qnm,s=-2 from qnm package,0.9956926372163504,0.039745797116971585,0.0888075272140627,2.2343878763508704
