chi,ell,m,n,Rew,Imw,source,note
0.0,2,2,0,0.37367168441804177,-0.08896231568893546,qnm,s=-2 from qnm package
0.004183682008368201,2,2,0,0.37419910924673583,-0.08895387396810846,qnm,s=-2 from qnm package
0.008367364016736403,2,2,0,0.3747290666969211,-0.0889452476672122,qnm,s=-2 from qnm package
0.012551046025104604,2,2,0,0.3752615782625187,-0.08893643480294974,qnm,s=-2 from qnm package
0.016734728033472805,2,2,0,0.3757966657042969,-0.08892743336066979,qnm,s=-2 from qnm package
0.020918410041841008,2,2,0,0.37633435105428176,-0.08891824129379898,qnm,s=-2 from qnm package
0.025102092050209208,2,2,0,0.3768746566202416,-0.0889088565231841,qnm,s=-2 from qnm package
0.029285774058577407,2,2,0,0.377417604990282,-0.08889927693648227,qnm,s=-2 from qnm package
0.03346945606694561,2,2,0,0.37796321903752095,-0.0888895003874842,qnm,s=-2 from qnm package
0.03765313807531381,2,2,0,0.3785115219248702,-0.08887952469545278,qnm,s=-2 from qnm package
0.041836820083682016,2,2,0,0.3790625371099133,-0.08886934764444564,qnm,s=-2 from qnm package
0.04602050209205021,2,2,0,0.3796162883498831,-0.08885896698261113,qnm,s=-2 from qnm package
0.050204184100418416,2,2,0,0.38017279970675316,-0.08884838042146578,qnm,s=-2 from qnm package
0.05438786610878662,2,2,0,0.38073209555242704,-0.08883758563516339,qnm,s=-2 from qnm package
0.058571548117154815,2,2,0,0.38129420057404273,-0.08882658025973966,qnm,s=-2 from qnm package
0.06275523012552302,2,2,0,0.38185913977938835,-0.08881536189234987,qnm,s=-2 from qnm package
0.06693891213389122,2,2,0,0.38242693850244014,-0.08880392809046789,qnm,s=-2 from qnm package
0.07112259414225942,2,2,0,0.382997622409007,-0.0887922763710986,qnm,s=-2 from qnm package
0.07530627615062763,2,2,0,0.38357121750251116,-0.08878040420991103,qnm,s=-2 from qnm package
0.07948995815899583,2,2,0,0.3841477501298829,-0.0887683090404372,qnm,s=-2 from qnm package
0.08367364016736403,2,2,0,0.38472724698759253,-0.08875598825316643,qnm,s=-2 from qnm package
0.08785732217573222,2,2,0,0.38530973512780803,-0.08874343919467977,qnm,s=-2 from qnm package
0.09204100418410043,2,2,0,0.3858952419646929,-0.0887306591667135,qnm,s=-2 from qnm package
0.09622468619246863,2,2,0,0.38648379528083854,-0.08871764542524871,qnm,s=-2 from qnm package
0.10040836820083683,2,2,0,0.3870754232338421,-0.08870439517952688,qnm,s=-2 from qnm package
0.10459205020920503,2,2,0,0.38767015436303265,-0.08869090559109022,qnm,s=-2 from qnm package
0.10877573221757324,2,2,0,0.38826801759634405,-0.08867717377275337,qnm,s=-2 from qnm package
0.11295941422594144,2,2,0,0.38886904225734437,-0.08866319678759263,qnm,s=-2 from qnm package
0.11714309623430963,2,2,0,0.38947325807242406,-0.08864897164785583,qnm,s=-2 from qnm package
0.12132677824267783,2,2,0,0.39008069517814525,-0.08863449531390635,qnm,s=-2 from qnm package
0.12551046025104604,2,2,0,0.39069138412876553,-0.08861976469309064,qnm,s=-2 from qnm package
0.12969414225941425,2,2,0,0.39130535590392207,-0.0886047766385981,qnm,s=-2 from qnm package
0.13387782426778244,2,2,0,0.39192264191650367,-0.0885895279482814,qnm,s=-2 from qnm package
0.13806150627615063,2,2,0,0.39254327402069805,-0.08857401536347917,qnm,s=-2 from qnm package
0.14224518828451885,2,2,0,0.39316728452022975,-0.08855823556774137,qnm,s=-2 from qnm package
0.14642887029288704,2,2,0,0.3937947061767873,-0.08854218518558764,qnm,s=-2 from qnm package
0.15061255230125525,2,2,0,0.39442557221864905,-0.08852586078120797,qnm,s=-2 from qnm package
0.15479623430962344,2,2,0,0.39505991634951243,-0.08850925885711419,qnm,s=-2 from qnm package
0.15897991631799166,2,2,0,0.39569777275753165,-0.0884923758527733,qnm,s=-2 from qnm package
0.16316359832635985,2,2,0,0.3963391761245716,-0.08847520814321261,qnm,s=-2 from qnm package
0.16734728033472807,2,2,0,0.3969841616356783,-0.08845775203754744,qnm,s=-2 from qnm package
0.17153096234309625,2,2,0,0.39763276498878186,-0.08844000377752746,qnm,s=-2 from qnm package
0.17571464435146444,2,2,0,0.39828502240463,-0.08842195953598998,qnm,s=-2 from qnm package
0.17989832635983266,2,2,0,0.3989409706369638,-0.08840361541531223,qnm,s=-2 from qnm package
0.18408200836820085,2,2,0,0.39960064698294173,-0.0883849674457782,qnm,s=-2 from qnm package
0.18826569037656907,2,2,0,0.4002640892938156,-0.08836601158395814,qnm,s=-2 from qnm package
0.19244937238493726,2,2,0,0.40093133598587044,-0.08834674371098851,qnm,s=-2 from qnm package
0.19663305439330547,2,2,0,0.4016024260516394,-0.08832715963082799,qnm,s=-2 from qnm package
0.20081673640167366,2,2,0,0.4022773990713868,-0.08830725506846793,qnm,s=-2 from qnm package
0.20500041841004185,2,2,0,0.4029562952248888,-0.08828702566809994,qnm,s=-2 from qnm package
0.20918410041841007,2,2,0,0.40363915530350125,-0.08826646699119464,qnm,s=-2 from qnm package
0.21336778242677826,2,2,0,0.40432602072253476,-0.08824557451458646,qnm,s=-2 from qnm package
0.21755146443514647,2,2,0,0.40501693353394813,-0.08822434362843544,qnm,s=-2 from qnm package
0.22173514644351466,2,2,0,0.40571193643935094,-0.08820276963419241,qnm,s=-2 from qnm package
0.22591882845188288,2,2,0,0.4064110728033567,-0.08818084774246893,qnm,s=-2 from qnm package
0.23010251046025107,2,2,0,0.4071143866672664,-0.08815857307085194,qnm,s=-2 from qnm package
0.23428619246861926,2,2,0,0.4078219227631117,-0.08813594064167138,qnm,s=-2 from qnm package
0.23846987447698748,2,2,0,0.4085337265280601,-0.08811294537968407,qnm,s=-2 from qnm package
0.24265355648535566,2,2,0,0.4092498441191996,-0.0880895821097011,qnm,s=-2 from qnm package
0.24683723849372388,2,2,0,0.4099703224287099,-0.08806584555413918,qnm,s=-2 from qnm package
0.25102092050209207,2,2,0,0.41069520909943397,-0.08804173033050643,qnm,s=-2 from qnm package
0.2552046025104603,2,2,0,0.4114245525408624,-0.08801723094880798,qnm,s=-2 from qnm package
